"rank","property_id","address","latitude","longitude","price","currency","bathrooms","bedrooms","area","land_area","zestimate","rent_zestimate","days_on_zillow","sold_date","is_zillow_owned","image","listing_type","status_text","broker_name","input","property_url","listing_url"
"327","17013428","5228 N Thorn St, San Diego, CA 92105","32.739998","-117.08301","695000","USD","1","2","744 sqft","","633700","2352","2","","False","https://photos.zillowstatic.com/fp/539a997981c9ec2170d430001d1c71c1-p_e.jpg","FOR SALE","Coming soon","RUTH E TORRES REALTY","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/5228-N-Thorn-St-San-Diego-CA-92105/17013428_zpid/","https://www.zillow.com/san-diego-ca/8_p/"
"434","69302507","801 S Winchester Blvd APT 2103, San Jose, CA 95128","37.31251","-121.9511","835000","USD","2","2","986 sqft","","858000","3240","18","","False","https://photos.zillowstatic.com/fp/b0fab228bc1eeecfaf9fe1db676e1afc-p_e.jpg","FOR SALE","Condo for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/801-S-Winchester-Blvd-APT-2103-San-Jose-CA-95128/69302507_zpid/","https://www.zillow.com/san-jose-ca/11_p/"
"791","443220556","0 E Hedding St, San Jose, CA 95112","37.353893","-121.902916","899000","USD","","","","8,123 sqft","","","109","","False","https://photos.zillowstatic.com/fp/46e6635ee3f6fb2982e035ed7ad50bfc-p_e.jpg","FOR SALE","Lot / Land for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/0-E-Hedding-St-San-Jose-CA-95112/443220556_zpid/","https://www.zillow.com/san-jose-ca/20_p/"
"652","2055630092","1141 Saratoga Ave, San Jose, CA 95129","37.30436","-121.97951","3300000","USD","3","3","1559 sqft","","3177200","4819","58","","False","https://photos.zillowstatic.com/fp/da9365dbf98975a5e2651937593ffea7-p_e.jpg","FOR SALE","House for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/1141-Saratoga-Ave-San-Jose-CA-95129/2055630092_zpid/","https://www.zillow.com/san-jose-ca/16_p/"
"285","140313717","3526 7th Ave, San Diego, CA 92103","32.741726","-117.15873","4500000","USD","5","4","4934 sqft","","4274800","7458","14","","False","https://photos.zillowstatic.com/fp/65e75a8b661c3b083ae2a9cbc43955fa-p_e.jpg","FOR SALE","House for sale","Compass","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3526-7th-Ave-San-Diego-CA-92103/140313717_zpid/","https://www.zillow.com/san-diego-ca/7_p/"
"264","19804110","3231 Wellcroft Ct, San Jose, CA 95148","37.314716","-121.803116","1488888","USD","2","4","1538 sqft","","","","13","","False","https://photos.zillowstatic.com/fp/0df9bbe9cde0a151f6c453ea0dad12d5-p_e.jpg","FOR SALE","House for sale","","https://www.zillow.com/homes/San-Jose,-CA_rb/","https://www.zillow.com/homedetails/3231-Wellcroft-Ct-San-Jose-CA-95148/19804110_zpid/","https://www.zillow.com/san-jose-ca/7_p/"
"96","16646954","3275 Maezel Ln, Carlsbad, CA 92008","33.164825","-117.33172","1995000","USD","4","5","2420 sqft","","","6598","40","","False","https://photos.zillowstatic.com/fp/1942df1a22bb5aef08844a9b56af7b42-p_e.jpg","FOR SALE","House for sale","Applegate Properties","https://www.zillow.com/homes/Carlsbad,-CA_rb/","https://www.zillow.com/homedetails/3275-Maezel-Ln-Carlsbad-CA-92008/16646954_zpid/","https://www.zillow.com/carlsbad-ca/3_p/"
"342","16927852","3833 Tomahawk Ln, San Diego, CA 92117","32.810055","-117.19788","1240000","USD","2","3","1550 sqft","","1250200","4322","8","","False","https://photos.zillowstatic.com/fp/e4d309f2b27add6a78c413e88cbae399-p_e.jpg","FOR SALE","House for sale","Berkshire Hathaway HomeServices California Properties","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/3833-Tomahawk-Ln-San-Diego-CA-92117/16927852_zpid/","https://www.zillow.com/san-diego-ca/9_p/"
"246","17063845","936 Cornish Dr, San Diego, CA 92107","32.72416","-117.253555","3250000","USD","3","4","2417 sqft","","","7614","14","","False","https://photos.zillowstatic.com/fp/253d69a83452b6b91367a2b55b98d723-p_e.jpg","FOR SALE","House for sale","Berkshire Hathaway HomeServices California Properties","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/936-Cornish-Dr-San-Diego-CA-92107/17063845_zpid/","https://www.zillow.com/san-diego-ca/6_p/"
"119","16929505","7807 Hummingbird Ln, San Diego, CA 92123","32.791588","-117.156075","789000","USD","3","4","1454 sqft","","783900","3884","4","","False","https://photos.zillowstatic.com/fp/3e3f7aeb5bf512d9b37232be2a288615-p_e.jpg","FOR SALE","Townhouse for sale","Wilhelmy Realty","https://www.zillow.com/homes/San-Diego,-CA_rb/","https://www.zillow.com/homedetails/7807-Hummingbird-Ln-San-Diego-CA-92123/16929505_zpid/","https://www.zillow.com/san-diego-ca/3_p/"
