price,bedrooms,bathrooms,area,land_area,latitude,longitude,zestimate,rent,source
239900.0,4.0,2.0,1614.0,0.3805,30.819534,-88.09596,240600.0,1599.0,USA
259900.0,3.0,2.0,1800.0,3.2,30.590004,-87.580376,,,USA
342500.0,2.0,2.0,1250.0,,30.284956,-87.74792,,,USA
335000.0,3.0,3.0,2224.0,0.26,33.357986,-86.6087,336200.0,1932.0,USA
250000.0,3.0,2.0,1225.0,,34.775517,-86.4407,222700.0,1679.0,USA
151000.0,3.0,2.0,1564.0,0.2,32.372746,-86.165115,150500.0,1385.0,USA
239000.0,3.0,2.0,1717.0,0.38,34.210014,-86.13669,238400.0,2125.0,USA
249900.0,3.0,2.0,1674.0,0.3443526170798898,34.2754,-86.21792,248000.0,1597.0,USA
295000.0,3.0,3.0,2190.0,0.3443,30.595074,-88.20307,294000.0,1900.0,USA
524900.0,4.0,3.0,3030.0,0.3399999999999999,34.755985,-86.86592,,,USA
199000.0,2.0,3.0,2099.0,,34.691204,-86.565834,,,USA
150000.0,3.0,2.0,1194.0,0.1971,30.693125,-88.087814,148300.0,1200.0,USA
285000.0,4.0,2.0,2094.0,0.34,32.27287,-84.980064,,,USA
145000.0,3.0,1.0,800.0,0.53,32.513927,-87.83505,,,USA
50439.0,3.0,3.0,2451.0,0.2583,31.12658,-87.05359,,,USA
169000.0,3.0,2.0,2196.0,0.61,32.39595,-86.269714,124700.0,1250.0,USA
160000.0,3.0,1.0,1100.0,1.0,30.774414,-88.257675,158200.0,1099.0,USA
139900.0,5.0,3.0,2285.0,1.1772,30.455751,-88.242485,,2100.0,USA
79900.0,3.0,2.0,1410.0,0.34,33.524075,-87.00953,78300.0,1369.0,USA
175000.0,3.0,2.0,1783.0,1.0,31.39427,-86.60098,,,USA
148000.0,3.0,2.0,2252.0,0.4501,30.481138,-88.352,,1640.0,USA
164000.0,6.0,4.0,3036.0,0.141,30.702614,-88.08904,154100.0,2500.0,USA
199000.0,3.0,3.0,2760.0,0.35,33.448425,-86.87966,,,USA
194500.0,4.0,2.0,1420.0,0.8,34.649124,-85.71751,,917.0,USA
69000.0,3.0,2.0,1044.0,0.18,33.506554,-86.89646,,986.0,USA
240000.0,3.0,2.0,1823.0,0.2,30.6471,-88.2378,,,USA
200000.0,3.0,3.0,3693.0,6.9,32.273514,-86.25934,188300.0,1201.0,USA
215000.0,6.0,4.0,4690.0,1.0,34.50726,-87.7332,,,USA
149900.0,4.0,2.0,1558.0,0.49,34.65146,-86.03795,,,USA
219000.0,3.0,2.0,1532.0,0.2641873278236915,34.750492,-86.62149,218300.0,1535.0,USA
409800.0,4.0,3.0,2410.0,0.27,30.504227,-87.874535,407800.0,2550.0,USA
150000.0,3.0,2.0,1188.0,0.17,32.472347,-85.009224,148400.0,1200.0,USA
285000.0,3.0,2.0,1679.0,0.15,34.87313,-86.58187,284000.0,1749.0,USA
214900.0,3.0,1.0,1308.0,0.27,34.57727,-86.95213,,,USA
180000.0,2.0,2.0,1600.0,4.87,33.78361,-86.630005,178600.0,1495.0,USA
175000.0,3.0,2.0,1296.0,0.1016,30.717815,-88.147285,170100.0,1566.0,USA
312000.0,5.0,4.0,3051.0,0.35,32.27377,-84.99826,307100.0,2100.0,USA
150000.0,4.0,5.0,1598.0,0.426,30.70528,-88.17934,143300.0,1500.0,USA
275000.0,3.0,2.0,1471.0,0.2799999999999999,34.621323,-86.57433,,,USA
335000.0,3.0,2.0,1175.0,0.25,33.51739,-86.76976,,,USA
179900.0,3.0,2.0,1450.0,0.3856749311294766,34.23136,-87.618965,173600.0,1050.0,USA
284900.0,4.0,3.0,1825.0,0.25,32.603745,-85.333275,,,USA
143000.0,3.0,1.0,1458.0,0.3537649219467401,31.201424,-85.413605,141000.0,1385.0,USA
159900.0,3.0,2.0,1444.0,,33.15471,-87.50979,192300.0,1500.0,USA
199900.0,3.0,2.0,1375.0,0.25,31.2081,-85.44741,205400.0,1529.0,USA
99700.0,3.0,2.0,2666.0,4.8,33.981796,-87.188896,,1800.0,USA
150000.0,3.0,4.0,2361.0,0.6799999999999999,32.35633,-86.179306,,,USA
456789.0,4.0,3.0,2307.0,1.86,32.657303,-85.42706,,,USA
295000.0,3.0,2.0,1227.0,0.002,33.527466,-86.71101,,,USA
305000.0,4.0,2.0,1999.0,0.29,34.63312,-86.536224,304800.0,1800.0,USA
289900.0,3.0,2.0,1752.0,26.0,30.404478,-87.67821,285800.0,1994.0,USA
279900.0,3.0,3.0,1880.0,0.27,33.22804,-86.83084,283600.0,1681.0,USA
359900.0,3.0,2.0,1900.0,20.0,30.499058,-88.33377,,,USA
279000.0,3.0,2.0,1425.0,1.82,33.354427,-86.59509,280200.0,1425.0,USA
365000.0,4.0,3.0,2354.0,0.21,34.69121,-86.78906,364700.0,2037.0,USA
135000.0,4.0,2.0,2077.0,0.0477,30.721144,-88.2097,,,USA
235000.0,3.0,1.0,1490.0,0.1576,30.681978,-88.07807,235000.0,1400.0,USA
54900.0,3.0,1.0,2263.0,0.154,32.40969,-87.03237,,,USA
215000.0,3.0,3.0,2535.0,0.37,33.622974,-86.81058,,,USA
221900.0,3.0,2.0,1273.0,0.2,33.642292,-86.48792,,,USA
79000.0,3.0,1.0,1000.0,0.0767,30.66862,-88.09325,,995.0,USA
399900.0,4.0,3.0,2875.0,0.4599999999999999,34.660194,-86.5568,382400.0,2262.0,USA
240000.0,3.0,2.0,1808.0,0.47,33.257935,-86.80834,239400.0,1657.0,USA
225000.0,3.0,2.0,1592.0,0.18,33.317497,-87.891014,,,USA
149900.0,3.0,2.0,1688.0,0.42,34.243496,-87.60556,,,USA
135000.0,3.0,2.0,1976.0,0.5599999999999999,34.97667,-86.65006,125400.0,847.0,USA
575000.0,4.0,4.0,3263.0,0.3299999999999999,34.700115,-86.793274,,,USA
225000.0,3.0,2.0,1798.0,0.1912304866850321,34.76469,-86.64163,,,USA
489000.0,3.0,2.0,2455.0,0.1739,30.685225,-88.0755,488700.0,2578.0,USA
209900.0,3.0,2.0,1859.0,3.0,30.810877,-87.80625,194500.0,1875.0,USA
349900.0,3.0,3.0,2542.0,1.43,34.057,-86.01735,347100.0,1800.0,USA
179900.0,4.0,3.0,3556.0,2.0,33.118427,-87.47632,182000.0,1814.0,USA
373000.0,4.0,3.0,2499.0,0.42,32.601738,-85.4107,,,USA
60000.0,2.0,1.0,1851.0,5.72,31.474384,-85.850395,,1800.0,USA
133000.0,2.0,2.0,778.0,0.0,33.498814,-86.82817,,,USA
179000.0,3.0,2.0,1320.0,1.0,34.7451,-86.612724,166800.0,1594.0,USA
89900.0,5.0,1.0,3459.0,3.7,34.736748,-87.89004,,,USA
178000.0,3.0,2.0,1444.0,0.16,33.490116,-86.890594,,,USA
249900.0,4.0,3.0,2954.0,0.4635,30.64961,-88.21921,,,USA
129900.0,5.0,4.0,1505.0,0.1836,30.6478,-88.08221,127600.0,1099.0,USA
229900.0,4.0,2.0,2494.0,0.92,30.336601,-87.695,,,USA
122000.0,4.0,2.0,1034.0,0.1825,30.71276,-88.191345,120700.0,1300.0,USA
175000.0,3.0,2.0,1664.0,0.0,31.240427,-85.43404,165000.0,1435.0,USA
329900.0,4.0,2.0,2349.0,,33.303703,-87.594124,328500.0,1999.0,USA
139900.0,4.0,2.0,2295.0,0.86,32.484257,-88.31267,,,USA
359900.0,3.0,2.0,1874.0,20.0,30.441343,-88.31281,,,USA
269000.0,5.0,3.0,2472.0,0.4579889807162534,31.257858,-85.4552,263800.0,1999.0,USA
189000.0,3.0,2.0,1860.0,0.4549999999999999,30.347391,-87.501076,,,USA
274800.0,3.0,2.0,2190.0,0.4,33.27857,-86.830025,279600.0,1648.0,USA
355000.0,4.0,3.0,2508.0,0.2,32.615627,-85.38071,,,USA
422000.0,3.0,3.0,1265.0,0.1435,30.232487,-87.977135,404700.0,2400.0,USA
249900.0,3.0,3.0,1888.0,0.4006999999999999,30.635536,-88.270996,250400.0,1800.0,USA
329500.0,3.0,2.0,1914.0,0.21,33.360428,-86.623604,,,USA
249900.0,4.0,2.0,1807.0,0.3432,30.582676,-88.18447,197700.0,1650.0,USA
159900.0,3.0,2.0,1439.0,0.3299999999999999,30.86652,-87.78434,,,USA
674900.0,5.0,5.0,3923.0,0.4,34.700047,-86.76704,674500.0,4140.0,USA
240000.0,3.0,2.0,1361.0,0.2329999999999999,30.404423,-87.67775,237500.0,1800.0,USA
170000.0,3.0,2.0,1450.0,0.42,32.461464,-86.43951,,,USA
159900.0,4.0,3.0,2238.0,0.1721763085399449,32.38716,-86.27291,,,USA
85000.0,3.0,2.0,1176.0,0.1699999999999999,32.3066,-86.33512,,,USA
268000.0,2.0,2.0,1927.0,,34.797318,-86.92516,291400.0,1892.0,USA
164900.0,3.0,2.0,1319.0,0.2307999999999999,30.637695,-88.179756,165200.0,1200.0,USA
240000.0,4.0,3.0,2430.0,0.02,33.768818,-86.62087,239500.0,1746.0,USA
165000.0,3.0,2.0,1840.0,,31.507168,-87.31117,,,USA
249900.0,2.0,2.0,1300.0,,34.201015,-86.16064,,,USA
104900.0,3.0,1.0,1025.0,1.4,31.317612,-85.91449,96200.0,999.0,USA
600000.0,4.0,4.0,3510.0,0.48,34.79965,-86.48301,599500.0,3427.0,USA
